text,label
"I absolutely love this product, it works perfectly!",positive
"Worst experience ever, total waste of money.",negative
"It's okay, nothing special but does the job.",neutral
"Amazing quality and super fast shipping!",positive
"Completely broken on arrival, very disappointed.",negative
"Pretty decent for the price.",neutral
"Best purchase I made this year!",positive
"Customer service was terrible and unhelpful.",negative
"Works as described, no complaints.",neutral
"Highly recommend, exceeded my expectations!",positive
"Stopped working after two days, returning it.",negative
"Average product, average price.",neutral
"Fantastic! Will definitely buy again.",positive
"Hate it, complete garbage.",negative
"Mediocre at best.",neutral
"Five stars, absolutely brilliant!",positive
"Cheap materials, fell apart immediately.",negative
"Does what it says on the box.",neutral
"My new favorite gadget, life-changing!",positive
"Total scam, do not buy.",negative
"It's fine I guess, nothing to write home about.",neutral
"Outstanding! Better than expected.",positive
"Awful packaging and damaged item.",negative
"Standard quality for this price range.",neutral
"Loved it from the first use!",positive
"Misleading description, very upset.",negative
"Acceptable but I've seen better.",neutral
"Super happy with my purchase!",positive
"Defective unit, waste of time.",negative
"Functions as advertised.",neutral
